Readings Heat MD M3,315,324,332,343,353,360,369,378,387,395,405,415,436,,444,452,461,469,478,478,478,478,479,488,496,504,,512,520,528,537,545,545,545,545,546,555,563,573,,588,602,623,636,652,654,654,654,660,680,700,719,,,,,,,,,,,,,
Readings Heat BL M2,528,538,546,556,566,574,582,590,598,605,614,624,637,,649,661,671,682,692,692,692,692,692,692,696,706,,716,724,733,741,749,749,749,749,749,757,766,776,,786,797,808,814,821,822,822,822,825,837,852,867,,,,,,,,,,,,,
Readings Hot water,715,724,734,745,757,766,776,787,798,808,819,830,841,,853,864,876,887,898,907,919,930,939,951,959,970,,980,990,1001,1011,1021,1030,1041,1050,1059,1069,1077,1086,,1094,1101,1110,1120,1131,1139,1149,1159,1168,1177,1186,1196,,,,,,,,,,,,,
Total consumption,,75,29,37,30,14,2,13,13,15,24,35,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption Apts M1,,29,25,32,26,15,12,15,16,16,25,27,31,,29,27,28,23,16,0,0,0,2,25,25,30,,29,27,27,28,15,0,0,0,2,22,22,27,,27,27,28,14,19,1,0,0,10,29,28,31,,,,,,,,,,,,,
Consumption Heat MD M3,,9,8,11,10,7,9,9,9,8,10,10,21,,8,8,9,8,9,0,0,0,1,9,8,8,,8,8,8,9,8,0,0,0,1,9,8,10,,15,14,21,13,16,2,0,0,6,20,20,19,,,,,,,,,,,,,
Consumption Heat BL M2,,10,8,10,10,8,8,8,8,7,9,10,13,,12,12,10,11,10,0,0,0,0,0,4,10,,10,8,9,8,8,0,0,0,0,8,9,10,,10,11,11,6,7,1,0,0,3,12,15,15,,,,,,,,,,,,,
Consumption Hot water,,9,10,11,12,9,10,11,11,10,11,11,11,,12,11,12,11,11,9,12,11,9,12,8,11,,10,10,11,10,10,9,11,9,9,10,8,9,,8,7,9,10,11,8,10,10,9,9,9,10,,,,,,,,,,,,,
Cost,,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,499Kč,,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,749Kč,749Kč,,749Kč,749Kč,749Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,,,,,,,,,,,,,
Consumption BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16.5,2.5,2,5,2,5,3,4,7,7,,,,,,,,,,,,,,
Consumption Revelton,,29,25,32,26,15,12,15,16,16,25,27,31,,41,38,40,34,27,9,12,11,11,37,33,41,,39,37,38,25,25,9,11,9,11,32,30,36,,31,30.5,32.5,17,"19,5",7,7,7,10,24,27,36,,,,,,,,,,,,,
Amount for BL,,БЛ компенсирвали 111320 Kč без НДС,,,,,,,,,,,,,БЛ компенсирвали 74 939 Kč без НДС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
