Cost,,,,,,,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,623 Kč,,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,774.0Kč,,86.84Kč,86.84Kč,86.84Kč,86.84Kč,86.84Kč,86.84Kč,86.84Kč,86.84Kč,90Kč,90Kč,90Kč,90Kč,,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,89.0Kč,,,,,,,,,,,,,
(+) Fixed cost,,,,,,,"6,424 Kč","9,387 Kč","10,017 Kč","8,378 Kč","8,378 Kč","5,226 Kč","11,089 Kč",,"5,793 Kč","7,432 Kč","3,839 Kč",686 Kč,812 Kč,"2,704 Kč","8,063 Kč","9,387 Kč","4,028 Kč","1,695 Kč","2,199 Kč","3,019 Kč",,"1,884 Kč","2,010 Kč","2,767 Kč","4,721 Kč","3,965 Kč","4,028 Kč","9,828 Kč","10,175 Kč","6,251 Kč","6,917 Kč","5,955 Kč","6,029 Kč",,"5,658 Kč","7,436 Kč","8,620 Kč","9,805 Kč","7,362 Kč","7,213 Kč","10,694 Kč","11,286 Kč","7,732 Kč","16,423 Kč","11,423 Kč","11,223 Kč",,"9,794 Kč","11,480 Kč","9,457 Kč","11,059 Kč","10,553 Kč","8,024 Kč","13,419 Kč","12,407 Kč","8,951 Kč","9,878 Kč","7,855 Kč","10,974 Kč",,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,400.0Kč,,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,830.0Kč,,,,,,,,,,,,,
Amount for P&L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,563 Kč","9,866 Kč","8,997 Kč","9,258 Kč","9,345 Kč","8,042 Kč","11,429 Kč","11,863 Kč","8,590 Kč","10,840 Kč","7,240 Kč","11,290 Kč",,"10,175 Kč","10,531 Kč","11,154 Kč","10,264 Kč","15,070 Kč","6,793 Kč","9,641 Kč","9,552 Kč","7,060 Kč","9,018 Kč","7,950 Kč","8,484 Kč",,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,перерасчет,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Gj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter readings,,,,,,424,437,453,471,493,536,595,649,,720,775,821,823,825,839,855,871,887,913,951,1011,,1074,1124,1168,1217,1247,1261,1278,1294,1317,1362,1422,1486,,1552,1607,1666,1712,1733,4,21,37,63,101,154,216,,272,337,391,440,467,482,499,515,528,561,612,680,,750,799,845,880,899,913,928,943,958,997,1052,1118,,1184,1251,1301,1330,1352,1364,1377,1391,1407,1440,1485,1543,,,,,,,,,,,,,
Consumption,,,,,,,13,16,18,22,43,59,54,,71,55,46,2,2,14,16,16,16,26,38,60,,63,50,44,49,30,14,17,16,23,45,60,64,,66,55,59,46,21,4,17,16,26,38,53,62,,56,65,54,49,27,15,17,16,13,33,51,68,,70,49,46,35,19,14,15,15,15,39,55,66,,66,67,50,29,22,12,13,14,16,33,45,58,,,,,,,,,,,,,
Cost,,,,,,,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,494.0Kč,,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,494Kč,,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,547Kč,,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,634Kč,749Kč,749Kč,,749Kč,749Kč,749Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,887Kč,,,,,,,,,,,,,
Amount for P&L,,,,,,,"6,422 Kč","7,904 Kč","8,892 Kč","10,868 Kč","21,242 Kč","29,146 Kč","26,676 Kč",,"35,074 Kč","27,170 Kč","22,724 Kč",988 Kč,988 Kč,"6,916 Kč","7,904 Kč","7,904 Kč","7,904 Kč","12,844 Kč","18,772 Kč","29,640 Kč",,"31,122 Kč","24,700 Kč","21,736 Kč","24,206 Kč","14,820 Kč","6,916 Kč","8,398 Kč","7,904 Kč","11,362 Kč","22,230 Kč","29,640 Kč","31,616 Kč",,"32,604 Kč","27,170 Kč","29,146 Kč","22,724 Kč","10,374 Kč","1,976 Kč","8,398 Kč","7,904 Kč","12,844 Kč","18,772 Kč","26,182 Kč","30,628 Kč",,"30,632 Kč","35,555 Kč","29,538 Kč","26,803 Kč","14,769 Kč","8,205 Kč","9,299 Kč","8,752 Kč","7,111 Kč","18,051 Kč","27,897 Kč","37,196 Kč",,"44,380 Kč","31,066 Kč","29,164 Kč","22,190 Kč","12,046 Kč","8,876 Kč","9,510 Kč","9,510 Kč","9,510 Kč","24,726 Kč","41,195 Kč","49,434 Kč",,"49,434 Kč","50,183 Kč","37,450 Kč","25,723 Kč","19,514 Kč","10,644 Kč","11,531 Kč","12,418 Kč","14,192 Kč","29,271 Kč","39,915 Kč","51,446 Kč",,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,замена счетчика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption per 1% occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,60.14,58.92,66.62,60.00,63.87,62.98,47.13,51.83,51.26,60.22,65.82,71.25,,61.42,57.20,62.19,54.00,54.03,54.75,50.66,49.00,60.76,64.10,83.79,70.90,,77.48,70.18,64.27,91.16,57.89,67.95,61.32,55.84,59.69,60.05,64.00,73.40,,80.42,66.52,70.27,51.70,52.94,40.15,45.76,49.65,47.33,58.48,82.76,61.32,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Water,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,1.08,1.44,1.66,1.68,1.65,1.59,1.60,1.64,1.41,2.14,1.52,1.63,,1.45,1.53,1.49,1.56,1.49,1.32,1.67,1.55,1.43,1.52,1.58,1.70,,1.45,1.40,1.48,1.85,1.36,1.54,1.51,1.47,1.21,1.47,1.13,1.73,,1.69,1.49,1.59,1.15,1.84,0.80,1.06,1.07,0.89,1.23,1.48,1.12,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Gas (heating), m3",,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1.05,0.86,0.91,0.62,0.38,0.07,0.20,0.18,0.38,0.51,0.75,0.95,,0.76,0.78,0.78,0.63,0.35,0.23,0.19,0.18,0.19,0.46,0.96,0.96,,1.08,0.63,0.69,0.64,0.25,0.25,0.18,0.17,0.20,0.49,0.82,0.94,,1.06,0.92,0.68,0.32,0.25,0.14,0.14,0.15,0.20,0.44,0.83,0.75,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
