,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comparison of cleaning speed per facility based on average apartment square footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЯЛТСКАЯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Superior Studio
No 17",28.5,74,72,78,66,70,73,78,79,64,66,60,66,71,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic Duplex Studio
No 8",16.1,72,70,60,71,40,67,57,65,60,60,61,63,62,3.86,,,podshot chasov,,,,,,,,,,,,,,,,,,,,,,,
"Executive
No14",43.7,103,119,105,113,110,121,135,131,53,127,120,120,113,2.59,,,objom belja v odnoj stirki - zagruzilji stiralku,,,,,,,,,,,,,,,,,,,,,,,
"Superior Duplex
No7",24.5,100,67,68,87,79,78,75,76,60,69,75,64,75,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic 
No15",19.1,58,69,60,56,60,63,55,59,60,55,60,60,60,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe Duplex 2 
No 2",25.1,73,72,65,77,72,55,83,73,80,70,75,73,72,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe
No4",28.9,73,61,79,63,68,78,64,68,45,66,70,60,66,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,
Масарика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pastel Suite
No3",53,114,113,103,88,121,124,112,111,120,119,125,117,114,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studio
No4",37,107,107,96,98,87,107,100,109,112,112,115,113,105,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attic Studio
No7",37,99,101,98,99,105,101,110,94,115,116,108,115,105,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Рига,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suite
No1",37.1,,,,,,,,,,,,,56,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delux Suite
No3",51.6,,,,,,,,,,,,,60,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attic
No5",80.4,,,,,,,,,,,,,108,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Таллинн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mint
No11",37,,,,,,,,,,,,,60,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pastel
No12",31,,,,,,,,,,,,,60,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duplex
No6",30,,,,,,,,,,,,,58,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arctic
No4",34,,,,,,,,,,,,,53,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Объект,МЛ,ФЛ,Прага ,ЯЛ,,,,Мас,Рига,Тал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Standard Triple Studio
No9","Modern for 2
No7","MOD 2
No1","Classic 
No15",,,,"Studio
No4","Suite
No1","Mint
No11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,19.1,19,18.8,19.1,,,,37,37.1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,64,74,61,60,,,,105,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.33,3.89,3.25,3.12,,,,2.84,1.51,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Superior Studio
 Modern No12","Bohemian
No5",,"Deluxe
No4",,,,"Pastel Suite
No3","Delux Suite
No3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,26.2,28,,28.9,,,,53,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость ,82,78,,66,,,,114,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Скорость на кв.м,3.12,2.80,,2.29,,,,2.15,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория,"Duplex studio
No20",,"Duplex Studio
No15","Classic Duplex
 Studio No 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метраж,14.8,,19.6,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
